시도,시군구,행정구역코드,법정구역코드,년도,EQ5D,학사_비율,소득액,실업급여지급자수(년),실업급여지급건수(년),실업급여지급액(년),인구수,경제활동가능인구,인구_실업급여자_비율,경제활동가능인구_실업급여자_비율,계_전체인구,0-4세_전체인구,5-9세_전체인구,10-14세_전체인구,15-19세_전체인구,20-24세_전체인구,25-29세_전체인구,30-34세_전체인구,35-39세_전체인구,40-44세_전체인구,45-49세_전체인구,50-54세_전체인구,55-59세_전체인구,60-64세_전체인구,65-69세_전체인구,70-74세_전체인구,75-79세_전체인구,80-84세_전체인구,85-89세_전체인구,90-94세_전체인구,95-99세_전체인구,100세이상_전체인구,계_여성인구,0-4세_여성인구,5-9세_여성인구,10-14세_여성인구,15-19세_여성인구,20-24세_여성인구,25-29세_여성인구,30-34세_여성인구,35-39세_여성인구,40-44세_여성인구,45-49세_여성인구,50-54세_여성인구,55-59세_여성인구,60-64세_여성인구,65-69세_여성인구,70-74세_여성인구,75-79세_여성인구,80-84세_여성인구,85-89세_여성인구,90-94세_여성인구,95-99세_여성인구,100세이상_여성인구,면적,지하철_노선_개수,지하철_역_개수,도로_노드_개수,도로_링크_개수,버스_노선_개수,버스_정류장_개수,대중교통_노선_개수,대중교통_정류장_역_개수,대중교통_노선_면적,대중교통_역_노선_면적,도로_노드_면적,도로_링크_면적
경기,안양시,31040,41170,2015,0.956,0.3406468362005748,2113972,17138,66551,62658709980,585177,454871.0,0.0292868653415975,0.03767661600761535,594141.5,25409.0,25810.5,30334.5,41040.0,45725.0,40976.5,46351.5,44193.5,51996.5,54449.0,53993.5,47104.5,29041.0,19932.0,15275.0,11127.0,6872.5,3186.5,1087.0,204.0,32.5,298681.5,12392.0,12504.0,14588.5,19533.0,21835.5,19912.5,22533.5,22147.5,26462.0,28184.5,27489.5,23603.5,14184.5,10123.0,8483.5,6718.0,4659.0,2340.5,801.5,160.0,25.5,58470526,2.0,7.0,745,2219,103,616,105.0,623.0,1.7957765592873238e-06,1.065494091843812e-05,1.274146225399101e-05,3.795074461960544e-05
경기,안양시,31040,41170,2016,0.96,0.3406468362005748,2171031,16984,66561,66064529550,582049,453716.0,0.02917967387625441,0.03743310793536045,592285.0,24814.0,25746.5,28178.0,39359.5,45297.5,41537.0,44349.5,44682.5,49401.0,54755.5,52351.0,49702.5,32280.0,20650.0,15449.0,11588.0,7318.0,3417.5,1155.5,220.5,32.0,298019.0,12189.0,12445.5,13556.5,18830.0,21652.0,20080.5,21527.0,22277.5,25103.0,28473.0,26590.0,25113.5,15903.5,10423.5,8491.5,6898.0,4895.5,2502.5,870.0,171.5,25.5,58500269,2.0,7.0,745,2219,103,616,105.0,623.0,1.7948635415676465e-06,1.0649523679968036e-05,1.273498417588473e-05,3.793144951179626e-05
경기,안양시,31040,41170,2017,0.961,0.3406468362005748,2256145,16595,65502,69332787080,576697,448921.0,0.02877594299953008,0.03696641502625184,587223.5,23616.0,25338.0,27155.0,37013.5,43869.0,42428.0,41926.5,44987.5,46780.5,54769.5,50805.0,51413.5,34928.0,21327.5,15639.0,12347.5,7699.5,3691.0,1210.0,244.0,35.0,295774.5,11632.0,12270.5,13082.0,17764.5,20961.0,20496.5,20362.0,22249.5,23849.5,28409.0,25852.0,26157.5,17295.5,10743.5,8487.5,7226.5,5110.0,2686.0,923.0,187.0,29.5,58497532,2.0,7.0,745,2219,103,616,105.0,623.0,1.794947520179142e-06,1.0650021953062909e-05,1.2735580024128197e-05,3.793322425978587e-05
경기,안양시,31040,41170,2018,0.964,0.3406468362005748,2360169,16808,67299,80877804360,566574,439230.0,0.02966602773865373,0.03826696719258703,576984.5,21975.0,24378.0,26266.5,34439.0,41924.5,42501.5,39671.5,44508.0,43930.5,53412.0,50227.5,51362.5,37253.0,22353.0,16122.5,12864.5,8175.5,3997.0,1309.0,277.5,36.0,291046.0,10825.5,11848.5,12683.5,16548.0,20110.5,20473.0,19239.5,21967.0,22391.5,27607.5,25761.0,26264.5,18528.5,11181.5,8705.0,7396.0,5376.5,2884.0,1006.5,217.0,31.0,58463654,2.0,7.0,745,2219,103,616,105.0,623.0,1.795987640457779e-06,1.0656193333382822e-05,1.2742959925152813e-05,3.795520546834106e-05
경기,부천시,31050,41190,2015,0.958,0.2498839580016099,1821883,25579,97664,89377725510,843794,652958.0,0.03031427101875576,0.03917403569601721,844242.5,35824.5,36175.0,39994.5,55255.5,65496.5,60508.0,68381.0,65139.5,72597.0,74848.0,78903.5,69806.5,42022.5,28139.0,20672.5,15232.5,9099.0,4303.5,1492.0,299.5,52.5,422700.0,17483.0,17607.5,19368.0,26496.5,31220.0,29631.5,33385.0,31916.5,35908.0,38349.0,40054.5,34708.5,20692.5,14111.0,11410.0,9482.0,6239.5,3190.5,1156.5,244.5,45.5,53437499,2.0,11.0,902,2714,106,1263,108.0,1274.0,2.0210526693998162e-06,2.3840936118660794e-05,1.687953247961698e-05,5.0788305043991676e-05
경기,부천시,31050,41190,2016,0.956,0.2498839580016099,1879190,24774,94790,92734431270,844043,650756.5,0.02935158516805423,0.03806953906722407,841814.5,34869.0,36094.0,37036.0,52507.0,64690.5,60880.5,64975.5,66369.5,69024.0,74954.5,75959.5,74182.0,47213.5,29645.0,21002.5,15796.0,9971.0,4694.5,1563.5,332.0,54.5,421986.0,16970.5,17635.0,17955.0,25268.0,30755.5,29867.5,31654.0,32459.5,34058.5,38365.5,38744.0,37214.5,23418.5,14809.0,11369.0,9681.0,6771.0,3469.0,1208.0,265.0,48.0,53439860,2.0,11.0,902,2714,106,1263,108.0,1274.0,2.0209633782723234e-06,2.383988281406426e-05,1.6878786733348478e-05,5.078606119102857e-05
경기,부천시,31050,41190,2017,0.955,0.2498839580016099,1955837,24175,95995,97871940060,845514,648744.5,0.02859207535298055,0.03726428509220502,842452.0,33791.5,35935.5,35925.5,49125.5,62953.5,62373.5,61747.5,68089.5,66057.5,75358.5,73576.5,77442.5,52020.0,31439.5,21741.5,17000.5,10657.5,5137.0,1644.0,379.5,55.5,422716.5,16434.5,17561.5,17419.5,23681.5,29980.0,30547.5,30132.0,33185.0,32596.5,38398.0,37732.5,39030.0,26022.0,15648.0,11552.5,10230.5,7169.0,3768.5,1279.5,298.5,49.5,53442446,2.0,11.0,902,2714,106,1263,108.0,1274.0,2.020865586878265e-06,2.3838729237804722e-05,1.687796999411292e-05,5.0783603729514926e-05
경기,부천시,31050,41190,2018,0.961,0.2498839580016099,2017712,26060,107572,125856842090,848756,642228.0,0.03070375938432247,0.04057748961428029,838766.5,32124.5,35350.0,35333.0,45601.5,60497.0,63129.5,58792.0,68900.5,63486.0,74172.5,73019.0,78150.0,56480.0,33525.0,22988.5,18103.0,11244.0,5543.0,1823.0,442.5,62.0,421345.5,15645.5,17232.0,17197.0,21982.5,28973.5,30780.5,28724.0,33571.5,31277.0,37485.0,37764.0,39477.0,28380.0,16756.0,12044.5,10679.5,7506.0,4045.0,1418.5,352.0,54.5,53444252,2.0,11.0,902,2714,106,1263,108.0,1274.0,2.020797297340788e-06,2.3837923674186703e-05,1.6877399650012876e-05,5.0781887638730544e-05
경기,광명시,31060,41210,2015,0.957,0.2821865726655964,1909302,10482,40772,37462702950,338509,255870.0,0.03096520328853886,0.04096611560558096,343551.5,17365.5,17871.0,18350.5,21859.0,22845.0,21277.0,28525.5,29861.0,32484.0,29402.5,27390.0,25356.0,16870.0,12010.5,9272.5,6557.0,3824.5,1728.5,565.5,117.5,18.5,173248.5,8453.5,8701.5,8803.0,10465.5,10717.0,10640.5,14380.5,14955.5,16049.5,14683.5,13805.0,13147.5,8610.0,6220.5,5216.5,3981.5,2583.0,1286.0,439.5,94.5,14.5,38516784,2.0,3.0,351,1080,67,546,69.0,549.0,1.791426823174022e-06,1.425352646264548e-05,9.112910361363503e-06,2.803972418881078e-05
경기,광명시,31060,41210,2016,0.959,0.2821865726655964,1989507,10098,39093,38263552210,334361,252601.5,0.03020089065411337,0.0399760096436482,338946.5,16222.0,17527.0,17269.0,21370.0,22513.5,20923.0,25917.5,29306.5,31186.5,30013.0,26645.5,26223.0,18503.0,12445.5,9295.0,6831.5,4155.5,1863.5,583.0,134.0,19.0,170914.5,7892.0,8569.5,8248.5,10307.0,10475.5,10291.0,12991.5,14779.5,15480.0,15024.0,13309.0,13594.5,9532.5,6424.0,5179.5,4072.5,2791.0,1371.0,459.0,107.5,15.5,38517879,2.0,3.0,351,1080,67,546,69.0,549.0,1.7913758958534554e-06,1.4253121258312275e-05,9.112651296298013e-06,2.8038927065532348e-05
경기,광명시,31060,41210,2017,0.963,0.2821865726655964,2065928,9820,39580,40745457450,328253,247803.0,0.02991594897837948,0.03962825308813856,332862.0,14661.5,16888.0,16808.5,20374.0,21861.0,21091.5,23398.5,28567.5,29554.5,30519.0,25960.5,26649.0,19827.5,12800.0,9344.5,7345.0,4401.5,2025.5,617.0,147.0,20.5,167949.5,7143.0,8232.0,8079.0,9859.5,10208.5,10219.0,11635.5,14392.0,14761.0,15321.5,12914.0,13776.5,10289.5,6608.0,5135.5,4335.0,2950.5,1469.5,486.0,116.5,17.5,38520232,2.0,3.0,351,1080,67,546,69.0,549.0,1.7912664700461824e-06,1.4252250609497887e-05,9.112094651974059e-06,2.8037214313766335e-05
