routeid,nodeid,gpslong,gpslati,A1
"104000008","101000004",126.9725522061,37.5554776389,"11140"
"100100001","102000226",126.9904431246,37.5511572043,"11170"
"100100001","102000316",126.981814,37.552265,"11170"
"100100001","101000160",126.980237787,37.5545553981,"11140"
"100100001","101000115",126.9838858506,37.5552850097,"11140"
"100100001","101000116",126.9874059964,37.5586203825,"11140"
"100100001","101000053",126.992490506,37.5609899926,"11140"
"100100001","101000054",126.9948830406,37.5613196823,"11140"
"100100001","101000103",126.9999300049,37.5624801112,"11140"
"100100001","101000293",127.0027220126,37.5601814056,"11140"
"100100001","101000117",127.0054329618,37.5581192384,"11140"
"100100001","101000106",127.0010413652,37.5516156456,"11140"
"100100001","101000149",126.998808215,37.5506954106,"11140"
"100100001","102000226",126.9904431246,37.5511572043,"11170"
"100100001","102000316",126.981814,37.552265,"11170"
"100100001","101000160",126.980237787,37.5545553981,"11140"
"100100001","101000115",126.9838858506,37.5552850097,"11140"
"100100001","101000116",126.9874059964,37.5586203825,"11140"
"100100001","101000053",126.992490506,37.5609899926,"11140"
"100100001","101000054",126.9948830406,37.5613196823,"11140"
"100100001","101000103",126.9999300049,37.5624801112,"11140"
"100100001","101000293",127.0027220126,37.5601814056,"11140"
"100100001","101000117",127.0054329618,37.5581192384,"11140"
"100100001","101000106",127.0010413652,37.5516156456,"11140"
"100100001","101000149",126.998808215,37.5506954106,"11140"
"100100002","101000033",126.97648724,37.5626069098,"11140"
"100100002","101000039",126.9772704866,37.5683636767,"11140"
"100100002","100000023",126.9772022826,37.5724045047,"11110"
"100100002","100000022",126.9787204661,37.5756938103,"11110"
"100100002","100000104",126.9841842323,37.5758656523,"11110"
"100100002","100000413",126.9875496939,37.5713121046,"11110"
"100100002","100000004",126.9875072018,37.5685822333,"11110"
"100100002","101000001",126.9874579937,37.5649827048,"11140"
